File Processing Summary Report
==============================
- count.txt: 1 lines, 1 words
- adults.txt: 2 lines, 2 words
- demo_data.txt: 4 lines, 6 words
- llms.txt: 2715 lines, 10131 words
- ca-file1.txt: 14 lines, 15 words
- ca-file1.txt: 14 lines, 15 words
- LICENSE.txt: 194 lines, 1498 words
- LICENSE.txt: 22 lines, 186 words
- LICENSE-MIT.txt: 20 lines, 166 words
- LICENSE.txt: 201 lines, 1581 words
- LICENSE.txt: 23 lines, 176 words
- LICENSE-MIT.txt: 20 lines, 166 words
- LICENSE-MIT.txt: 20 lines, 166 words
- license.txt: 21 lines, 176 words
- LICENSE-MIT.txt: 20 lines, 166 words
- LICENSE-MIT.txt: 20 lines, 166 words
- LICENSE.txt: 19 lines, 170 words
- LICENSE-MIT.txt: 20 lines, 166 words
- LICENSE.txt: 47 lines, 296 words
- LICENSE.txt: 47 lines, 296 words
- LICENSE-MIT.txt: 20 lines, 166 words
- Recharts.js.LICENSE.txt: 21 lines, 87 words
- LICENSE-MIT.txt: 20 lines, 166 words
- LICENSE-MIT.txt: 20 lines, 166 words
- LICENSE-MIT.txt: 20 lines, 166 words
- LICENSE-MIT.txt: 22 lines, 171 words
- utf8.txt: 1 lines, 1 words
- LICENSE.txt: 16 lines, 118 words
- CopyrightNotice.txt: 15 lines, 104 words
- LICENSE.txt: 12 lines, 101 words
- LICENSE.txt: 55 lines, 1409 words
- ThirdPartyNoticeText.txt: 193 lines, 5589 words
- LICENSE-MIT.txt: 20 lines, 166 words
- LICENSE-MIT.txt: 20 lines, 166 words
- LICENSE-MIT.txt: 20 lines, 166 words
- LICENSE-MIT.txt: 20 lines, 166 words
- LICENSE-MIT.txt: 20 lines, 166 words
- viewer.js.LICENSE.txt: 10 lines, 23 words
- llms.txt: 11482 lines, 50103 words
- example.txt: 3 lines, 15 words
- input.txt: 5 lines, 10 words
- input_data.txt: 6 lines, 39 words
- input_numbers.txt: 8 lines, 8 words
- agent_task_ailang.txt: 52 lines, 200 words
- agent_task_python.txt: 51 lines, 172 words
- llms.txt: 2715 lines, 10131 words
- modulo_results.txt: 11 lines, 33 words
- processed_data.txt: 10 lines, 10 words
- processed_results.txt: 10 lines, 20 words
- results.txt: 2 lines, 9 words
- squared_numbers.txt: 5 lines, 5 words
- output.txt: 4 lines, 14 words
- output_squared_odds.txt: 4 lines, 4 words
- report.txt: 10 lines, 34 words
- data.txt: 10 lines, 10 words
- summary.txt: 2 lines, 14 words

==============================
Total files found: 56
Successfully processed: 56
Errors: 0
